Reel_Number,Reel_URL,Likes,Comments_Count,Views,Date,Time,Is_Original_Sound
1,https://www.instagram.com/sozal_foods/reel/DYLtn-CINNS/,2760, 47,N/A,2026-05-11,15:14:23,Yes
2,https://www.instagram.com/sozal_foods/reel/DVGwmPxjI8O/,3623, 29,N/A,2026-02-23,15:40:55,Yes
3,https://www.instagram.com/sozal_foods/reel/DZxP01DIsEA/,94, 7,N/A,2026-06-19,13:45:41,Yes
4,https://www.instagram.com/sozal_foods/reel/DZuo705IEAL/,175, 17,N/A,2026-06-18,13:29:45,Yes
5,https://www.instagram.com/sozal_foods/reel/DX4V9osIqLf/,770, 11,N/A,2026-05-03,14:51:42,Yes
6,https://www.instagram.com/sozal_foods/reel/DVgklMmCAav/,336, 36,N/A,2026-03-05,16:14:22,Yes
7,https://www.instagram.com/sozal_foods/reel/DVBg8ChDByN/,425, 8,N/A,2026-02-21,14:46:15,Yes
8,https://www.instagram.com/sozal_foods/reel/DZH5jooBH4-/,521, 21,N/A,2026-06-03,12:19:34,Yes
9,https://www.instagram.com/sozal_foods/reel/DY8Np3RoZbN/,5640, 52,N/A,2026-06-01,09:06:49,Yes
10,https://www.instagram.com/sozal_foods/reel/DYFDCQVIjSF/,N/A,N/A,N/A,2026-05-08,13:13:37,Yes
11,https://www.instagram.com/sozal_foods/reel/DXCKQCNiLPb/,3571, 60,N/A,2026-04-12,13:50:23,Yes
12,https://www.instagram.com/sozal_foods/reel/DYvSRXBIQzs/,N/A,N/A,N/A,2026-05-25,12:33:13,Yes
13,https://www.instagram.com/sozal_foods/reel/DaAn1-MIHRr/,380, 14,N/A,2026-06-25,13:02:13,Yes
14,https://www.instagram.com/sozal_foods/reel/DZFS3qMtFSW/,180, 11,N/A,2026-06-02,12:00:13,Yes
15,https://www.instagram.com/sozal_foods/reel/DY3Maz4oVZS/,164, 14,N/A,2026-05-31,13:46:36,Yes
16,https://www.instagram.com/sozal_foods/reel/DVTSHklCJJ1/,2667, 13,N/A,2026-03-04,12:27:32,Yes
17,https://www.instagram.com/sozal_foods/reel/DXJ9t3gCMZ7/,674, 35,N/A,2026-04-15,14:33:20,Yes
18,https://www.instagram.com/sozal_foods/reel/DWyu-YBiDVh/,376, 13,N/A,2026-04-06,14:01:52,Yes
19,https://www.instagram.com/sozal_foods/reel/DXbwU-JiLUR/,159, 6,N/A,2026-04-22,12:27:25,Yes
20,https://www.instagram.com/sozal_foods/reel/DY5pWOiINlP/,121, 13,N/A,2026-05-29,11:31:42,Yes
