reel_id,reel_link,post_date,caption,likes,views,saves,shares,comments,human_appeal_type,human_narrative_style,human_transparency,human_cta,human_narrative_transportation,human_parasocial_bonding,human_authenticity,transcript
Reel_01,https://www.instagram.com/reel/DNKo_RTIG4e/,19-12-2024,First video on insta hope you'll like it,263,12300,175,142,10,Instructional,Results in Progress,Medium,No,Yes,Yes,Yes,
Reel_02,https://www.instagram.com/reel/DEAQGXgolTr/,25-12-2024,Chicken and potato cutles with cheese,291,14000,255,115,4,Instructional,Results in Progress,Low,No,Yes,No,Yes,
Reel_03,https://www.instagram.com/p/DEP6qhuoE8P/,31-12-2024,Most of the recipes are on my YouTube channel sozal food and vlogs link in bio,200,18800,0,0,2,Instructional,Results in Progress,Low,No,No,No,Yes,
Reel_04,https://www.instagram.com/reel/DE7o_rBolMe/,7-1-2025,Like if you want a full recipe,146,16400,26,17,5,Instructional,Results in Progress,Good,Yes,No,No,Yes,
Reel_05,https://www.instagram.com/reel/DFnAh5HImd3/,3-2-2025,Dawatttt,467,22800,114,53,15,Instructional,Results in Progress,Low,No,Yes,No,Yes,
Reel_06,https://www.instagram.com/p/DG0HCu9ozKR/,5-3-2025,On December 31 2024 I only had 50 followers last picture!! How long have you been following me?,403,20000,41,0,26,Instructional,Results in Progress,Good,Yes,Yes,Yes,Yes,
Reel_07,https://www.instagram.com/reel/DHDplYQonBG/,11-3-2025,I used monsalwapk chicken fries they were so tasty and convenient to use no need to marinate chicken Ingredients are in caption,468,22700,140,148,12,Instructional,Results in Progress,Low,Yes,Yes,No,Yes,
Reel_08,https://www.instagram.com/reel/DHqT8e0IoCC/,26-3-2025,Trusttt me y'all will loveeee it,663,36000,506,306,20,Instructional,Results in Progress,Good,Yes,Yes,Yes,Yes,
Reel_09,https://www.instagram.com/reel/DIYpQU4IX0r/,13-4-2025,Chicken Manchuriannn What do you like more?,430,19400,324,150,7,Instructional,Results in Progress,Good,Yes,Yes,Yes,Yes,
Reel_10,https://www.instagram.com/reel/DJd-qqUIPFT/,10-5-2025,What should I try next guys Mery dimagh mein is wqt kuch nhi hai aplog hi bata do,3778,286000,932,3484,47,Instructional,Results in Progress,Medium,Yes,Yes,Yes,Yes,
Reel_11,https://www.instagram.com/reel/DKtoCG6I4LT/,10-6-2025,Aplogo ny Kia khaya tha Eid Eid Mubarak Eid-ul-azha bakra Eid what I eat in a day what I ate on Eid biryani kebab,4914,242000,230,192,11,Instructional,Results in Progress,Medium,No,Yes,Yes,Yes,
Reel_12,https://www.instagram.com/reel/DLJ9-WbIUN_/,21-5-2025,Which team are you in Order Chicken pasta Regular Rs 500 Lava cake Rs 350 Total Amount with drink and delivery charges Rs 1160,1390,101000,184,211,34,Instructional,Results in Progress,Medium,Yes,Yes,Yes,Yes,
Reel_13,https://www.instagram.com/reel/DLzTzT0oTrB/,7-6-2025,Haleem acha lgta vote,450,25400,337,145,11,Instructional,Results in Progress,Good,Yes,Yes,Yes,Yes,
Reel_14,https://www.instagram.com/reel/DMkMpagMMmW/,26-6-2025,Don't worry I work a lot bs Dekha nhi sakti woh internship internship vlog a day in my life vlogs,519,52800,70,34,13,Instructional,Results in Progress,Good,No,Yes,Yes,Yes,
Reel_15,https://www.instagram.com/reel/DOQegflCBSx/,6-9-2025,I have literally the bestttt ami,17700,910000,22900,18700,96,Instructional,Results in Progress,Good,No,Yes,Yes,Yes,
Reel_16,https://www.instagram.com/reel/DP6YYJ2iLDi/,17-10-2025,They turned out sooo good churros churros recipe easy recipes,24300,1000000,22800,24400,130,Instructional,Results in Progress,Good,No,Yes,Yes,Yes,
Reel_17,https://www.instagram.com/reel/DSzwhp_CBJQ/,28-12-2025,He is so Cute MA Mai ek ghanty mai recording karti isny 10 min mai karli,314,20500,183,73,29,Instructional,Results in Progress,Good,No,Yes,Yes,Yes,
Reel_18,https://www.instagram.com/reel/DUN1ZoiCILT/,1-2-2026,But I'll still prefer suji ka halwa,4300,360000,2913,2957,43,Instructional,Results in Progress,Good,No,Yes,Yes,Yes,
Reel_19,https://www.instagram.com/reel/DVGwmPxjI8O/,23-2-2026,Can't say no to Singaporean rice business frozen food ramzan ifatri,3571,143000,1077,672,29,Instructional,Results in Progress,Good,No,Yes,Yes,Yes,
Reel_20,https://www.instagram.com/reel/DYFDCQVIjSF/,8-5-2026,Do you guys eat murabba mango aam ka murabba how to make,2093,34000,49,0,9,Instructional,Results in Progress,Good,No,Yes,Yes,Yes,
